name,price,review_count,rating,rounded_rating,content_rating,genres,platform,rating-2,rounded_rating-2,review_count-2,price-2,content_rating-2,genres-2,platform-2,Expected_app_life,purchase_price,net_income_lifespan
Allrecipes Dinner Spinner,$0.00 ,109349,3.5,3.5,12+,Food & Drink,IOS,4.5,4.5,61881,$0.00 ,Everyone,Food & Drink,GOOGLE,9,10000,"$422,000.00 "
Chick-fil-A,$0.00 ,5665,3.5,3.5,4+,Food & Drink,IOS,4.3,4.5,28008,$0.00 ,Everyone,Food & Drink,GOOGLE,9,10000,"$422,000.00 "
SONIC Drive-In,$0.00 ,1645,4,4,4+,Food & Drink,IOS,4.3,4.5,19314,$0.00 ,Everyone,Food & Drink,GOOGLE,9.5,10000,"$446,000.00 "
DoorDash - Food Delivery,$0.00 ,25947,4.5,4.5,4+,Food & Drink,IOS,4.5,4.5,104504,$0.00 ,Everyone,Food & Drink,GOOGLE,10,10000,"$470,000.00 "
Starbucks,$0.00 ,303856,4.5,4.5,4+,Food & Drink,IOS,4.5,4.5,455377,$0.00 ,Everyone,Food & Drink,GOOGLE,10,10000,"$470,000.00 "
Domino's Pizza USA,$0.00 ,258624,5,5,4+,Food & Drink,IOS,4.7,4.5,1032935,$0.00 ,Everyone,Food & Drink,GOOGLE,10.5,10000,"$494,000.00 "
Geocaching®,$0.00 ,12811,3.5,3.5,4+,Navigation,IOS,4.1,4,62616,$0.00 ,Teen,Health & Fitness,GOOGLE,8.5,10000,"$398,000.00 "
Fitbit,$0.00 ,90496,4,4,4+,Health & Fitness,IOS,3.9,4,357417,$0.00 ,Everyone,Health & Fitness,GOOGLE,9,10000,"$422,000.00 "
Seven - 7 Minute Workout Training Challenge,$0.00 ,6808,4.5,4.5,4+,Health & Fitness,IOS,4.5,4.5,75571,$0.00 ,Everyone,Health & Fitness,GOOGLE,10,10000,"$470,000.00 "
Philips Hue,$0.00 ,1999,1.5,1.5,4+,Lifestyle,IOS,3.1,3,10006,$0.00 ,Everyone,Lifestyle,GOOGLE,5.5,10000,"$254,000.00 "
myChevrolet,$0.00 ,1083,2,2,17+,Lifestyle,IOS,3.5,3.5,6747,$0.00 ,Everyone,Lifestyle,GOOGLE,6.5,10000,"$302,000.00 "
T-Mobile Tuesdays,$0.00 ,3213,2.5,2.5,17+,Lifestyle,IOS,4,4,53144,$0.00 ,Everyone,Lifestyle,GOOGLE,7.5,10000,"$350,000.00 "
H&M,$0.00 ,687,3,3,4+,Shopping,IOS,3.7,3.5,41941,$0.00 ,Everyone,Lifestyle,GOOGLE,7.5,10000,"$350,000.00 "
Tinder,$0.00 ,143040,3.5,3.5,17+,Lifestyle,IOS,4,4,2789775,$0.00 ,Mature 17+,Lifestyle,GOOGLE,8.5,10000,"$398,000.00 "
Fuel Rewards® program,$0.00 ,2249,4.5,4.5,4+,Shopping,IOS,4.6,4.5,32433,$0.00 ,Everyone,Lifestyle,GOOGLE,10,10000,"$470,000.00 "
Uber,$0.00 ,49466,3,3,4+,Travel,IOS,4.2,4,4928420,$0.00 ,Everyone,Maps & Navigation,GOOGLE,8,10000,"$374,000.00 "
DB Navigator,$0.00 ,512,3.5,3.5,4+,Travel,IOS,4,4,119685,$0.00 ,Everyone,Maps & Navigation,GOOGLE,8.5,10000,"$398,000.00 "
Just Dance Now,$0.00 ,2535,3.5,3.5,4+,Games,IOS,4.2,4,794058,$0.00 ,Everyone,Music,GOOGLE,8.5,10000,"$398,000.00 "
Sky News,$0.00 ,118,3,3,12+,News,IOS,4,4,30287,$0.00 ,Everyone 10+,News & Magazines,GOOGLE,8,10000,"$374,000.00 "
NBC News,$0.00 ,32881,3.5,3.5,12+,News,IOS,4.1,4,63020,$0.00 ,Everyone 10+,News & Magazines,GOOGLE,8.5,10000,"$398,000.00 "
USA TODAY,$0.00 ,61724,3.5,3.5,4+,News,IOS,4.1,4,49259,$0.00 ,Everyone 10+,News & Magazines,GOOGLE,8.5,10000,"$398,000.00 "
Twitter,$0.00 ,354058,3.5,3.5,17+,News,IOS,4.3,4.5,11667403,$0.00 ,Mature 17+,News & Magazines,GOOGLE,9,10000,"$422,000.00 "
The Washington Post Classic,$0.00 ,18572,4.5,4.5,12+,News,IOS,4.5,4.5,23158,$0.00 ,Everyone 10+,News & Magazines,GOOGLE,10,10000,"$470,000.00 "
The Guardian,$0.00 ,8176,5,5,12+,News,IOS,4.7,4.5,247992,$0.00 ,Teen,News & Magazines,GOOGLE,10.5,10000,"$494,000.00 "
Boomerang from Instagram,$0.00 ,2373,3.5,3.5,4+,Photo & Video,IOS,4.4,4.5,928720,$0.00 ,Everyone,Photography,GOOGLE,9,10000,"$422,000.00 "
VSCO,$0.00 ,11174,3.5,3.5,12+,Photo & Video,IOS,4.4,4.5,753115,$0.00 ,Everyone,Photography,GOOGLE,9,10000,"$422,000.00 "
Snapseed,$0.00 ,8683,4,4,4+,Photo & Video,IOS,4.5,4.5,823109,$0.00 ,Everyone,Photography,GOOGLE,9.5,10000,"$446,000.00 "
Photo Editor-,$0.00 ,9095,4.5,4.5,4+,Photo & Video,IOS,4.3,4.5,68070,$0.00 ,Everyone,Photography,GOOGLE,10,10000,"$470,000.00 "
Photo Editor by Aviary,$0.00 ,39501,4.5,4.5,12+,Photo & Video,IOS,4.4,4.5,1490732,$0.00 ,Everyone,Photography,GOOGLE,10,10000,"$470,000.00 "
PicsArt Photo Studio: Collage Maker & Pic Editor,$0.00 ,29078,4.5,4.5,12+,Photo & Video,IOS,4.5,4.5,7594559,$0.00 ,Teen,Photography,GOOGLE,10,10000,"$470,000.00 "
Adobe Illustrator Draw,$0.00 ,3215,4.5,4.5,4+,Productivity,IOS,4.4,4.5,65766,$0.00 ,Everyone,Photography,GOOGLE,10,10000,"$470,000.00 "
myAT&T,$0.00 ,108507,3,3,4+,Utilities,IOS,3.7,3.5,80847,$0.00 ,Everyone,Productivity,GOOGLE,7.5,10000,"$350,000.00 "
Dropbox,$0.00 ,49578,3.5,3.5,4+,Productivity,IOS,4.4,4.5,1861310,$0.00 ,Everyone,Productivity,GOOGLE,9,10000,"$422,000.00 "
Google Slides,$0.00 ,9920,4,4,4+,Productivity,IOS,4.2,4,244567,$0.00 ,Everyone,Productivity,GOOGLE,9,10000,"$422,000.00 "
Microsoft PowerPoint,$0.00 ,10939,4,4,4+,Productivity,IOS,4.5,4.5,618798,$0.00 ,Everyone,Productivity,GOOGLE,9.5,10000,"$446,000.00 "
Google Docs,$0.00 ,64259,4.5,4.5,4+,Productivity,IOS,4.3,4.5,815981,$0.00 ,Everyone,Productivity,GOOGLE,10,10000,"$470,000.00 "
Google Sheets,$0.00 ,24602,4.5,4.5,4+,Productivity,IOS,4.3,4.5,496399,$0.00 ,Everyone,Productivity,GOOGLE,10,10000,"$470,000.00 "
Microsoft Excel,$0.00 ,24430,4.5,4.5,4+,Productivity,IOS,4.5,4.5,1079491,$0.00 ,Everyone,Productivity,GOOGLE,10,10000,"$470,000.00 "
Microsoft OneNote,$0.00 ,39638,4.5,4.5,4+,Productivity,IOS,4.4,4.5,480643,$0.00 ,Everyone,Productivity,GOOGLE,10,10000,"$470,000.00 "
Microsoft Word,$0.00 ,47999,4.5,4.5,4+,Productivity,IOS,4.5,4.5,2084126,$0.00 ,Everyone,Productivity,GOOGLE,10,10000,"$470,000.00 "
Trello,$0.00 ,2793,4.5,4.5,4+,Productivity,IOS,4.5,4.5,72513,$0.00 ,Everyone,Productivity,GOOGLE,10,10000,"$470,000.00 "
Verizon Cloud,$0.00 ,6482,4.5,4.5,4+,Productivity,IOS,4.3,4.5,185632,$0.00 ,Everyone,Productivity,GOOGLE,10,10000,"$470,000.00 "
Bejeweled Blitz,$0.00 ,221002,4,4,4+,Games,IOS,4.2,4,222664,$0.00 ,Everyone,Puzzle,GOOGLE,9,10000,"$422,000.00 "
Candy Crush Jelly Saga,$0.00 ,32395,4,4,4+,Games,IOS,4.3,4.5,1300490,$0.00 ,Everyone,Puzzle,GOOGLE,9.5,10000,"$446,000.00 "
Angry Birds Blast,$0.00 ,24878,4.5,4.5,4+,Games,IOS,4.6,4.5,253115,$0.00 ,Everyone,Puzzle,GOOGLE,10,10000,"$470,000.00 "
Bad Piggies,$0.00 ,26259,4.5,4.5,4+,Games,IOS,4.3,4.5,1168959,$0.00 ,Everyone,Puzzle,GOOGLE,10,10000,"$470,000.00 "
Bad Piggies HD,$0.00 ,19018,4.5,4.5,4+,Games,IOS,4.4,4.5,764967,$0.00 ,Everyone,Puzzle,GOOGLE,10,10000,"$470,000.00 "
Fishdom,$0.00 ,39217,4.5,4.5,4+,Games,IOS,4.6,4.5,2157930,$0.00 ,Everyone,Puzzle,GOOGLE,10,10000,"$470,000.00 "
Flow Free,$0.00 ,373857,4.5,4.5,4+,Games,IOS,4.3,4.5,1295557,$0.00 ,Everyone,Puzzle,GOOGLE,10,10000,"$470,000.00 "
Toy Blast,$0.00 ,75822,4.5,4.5,4+,Games,IOS,4.7,4.5,1889250,$0.00 ,Everyone,Puzzle,GOOGLE,10,10000,"$470,000.00 "
Frozen Free Fall,$0.00 ,50593,4.5,4.5,4+,Games,IOS,4.3,4.5,1574197,$0.00 ,Everyone,Puzzle;Action & Adventure,GOOGLE,10,10000,"$470,000.00 "
PAC-MAN Pop,$0.00 ,1000,4.5,4.5,4+,Games,IOS,4.3,4.5,24877,$0.00 ,Everyone,Puzzle;Action & Adventure,GOOGLE,10,10000,"$470,000.00 "
Inside Out Thought Bubbles,$0.00 ,21881,4.5,4.5,4+,Games,IOS,4.4,4.5,623398,$0.00 ,Everyone,Puzzle;Brain Games,GOOGLE,10,10000,"$470,000.00 "
Angry Birds Go!,$0.00 ,75793,4,4,4+,Games,IOS,4.2,4,3846378,$0.00 ,Everyone,Racing,GOOGLE,9,10000,"$422,000.00 "
Does not Commute,$0.00 ,5645,4,4,4+,Games,IOS,4,4,154108,$0.00 ,Everyone,Racing,GOOGLE,9,10000,"$422,000.00 "
Driving Zone,$0.00 ,298,4,4,4+,Games,IOS,4.2,4,51791,$0.00 ,Everyone,Racing,GOOGLE,9,10000,"$422,000.00 "
Asphalt 8: Airborne,$0.00 ,188568,4.5,4.5,12+,Games,IOS,4.5,4.5,8389714,$0.00 ,Teen,Racing,GOOGLE,10,10000,"$470,000.00 "
Gear.Club - True Racing,$0.00 ,2793,4.5,4.5,4+,Games,IOS,4.4,4.5,140658,$0.00 ,Everyone,Racing,GOOGLE,10,10000,"$470,000.00 "
Hill Climb Racing,$0.00 ,108183,4.5,4.5,9+,Games,IOS,4.4,4.5,8923587,$0.00 ,Everyone,Racing,GOOGLE,10,10000,"$470,000.00 "
Hill Climb Racing 2,$0.00 ,33854,4.5,4.5,9+,Games,IOS,4.6,4.5,2750410,$0.00 ,Everyone,Racing,GOOGLE,10,10000,"$470,000.00 "
Need for Speed™ No Limits,$0.00 ,34998,4.5,4.5,4+,Games,IOS,4.4,4.5,3344300,$0.00 ,Everyone 10+,Racing,GOOGLE,10,10000,"$470,000.00 "
Traffic Racer,$0.00 ,22458,4.5,4.5,4+,Games,IOS,4.5,4.5,5387639,$0.00 ,Everyone,Racing,GOOGLE,10,10000,"$470,000.00 "
Hot Wheels: Race Off,$0.00 ,3141,4.5,4.5,4+,Games,IOS,4.5,4.5,520609,$0.00 ,Everyone,Racing;Action & Adventure,GOOGLE,10,10000,"$470,000.00 "
Real Racing 3,$0.00 ,164483,4.5,4.5,4+,Games,IOS,4.5,4.5,354384,$0.00 ,Everyone,Racing;Action & Adventure,GOOGLE,10,10000,"$470,000.00 "
Cartoon Wars 3,$0.00 ,979,4,4,12+,Games,IOS,4.1,4,137674,$0.00 ,Teen,Role Playing,GOOGLE,9,10000,"$422,000.00 "
Angry Birds Epic RPG,$0.00 ,84680,4.5,4.5,4+,Games,IOS,4.5,4.5,2634605,$0.00 ,Everyone,Role Playing,GOOGLE,10,10000,"$470,000.00 "
FINAL FANTASY BRAVE EXVIUS,$0.00 ,28187,4.5,4.5,12+,Games,IOS,4.6,4.5,745684,$0.00 ,Teen,Role Playing,GOOGLE,10,10000,"$470,000.00 "
MARVEL Future Fight,$0.00 ,20906,4.5,4.5,9+,Games,IOS,4.6,4.5,2354042,$0.00 ,Everyone 10+,Role Playing,GOOGLE,10,10000,"$470,000.00 "
Star Wars™: Galaxy of Heroes,$0.00 ,122260,4.5,4.5,9+,Games,IOS,4.5,4.5,1461698,$0.00 ,Everyone 10+,Role Playing,GOOGLE,10,10000,"$470,000.00 "
Summoners War,$0.00 ,137122,4.5,4.5,12+,Games,IOS,4.3,4.5,2045554,$0.00 ,Teen,Role Playing,GOOGLE,10,10000,"$470,000.00 "
My College Bookstore,$0.00 ,225,2.5,2.5,4+,Shopping,IOS,3.2,3,661,$0.00 ,Everyone,Shopping,GOOGLE,6.5,10000,"$302,000.00 "
Best Buy,$0.00 ,80424,4,4,4+,Shopping,IOS,4.4,4.5,186116,$0.00 ,Everyone,Shopping,GOOGLE,9.5,10000,"$446,000.00 "
Wish - Shopping Made Fun,$0.00 ,141960,4.5,4.5,12+,Shopping,IOS,4.5,4.5,6210998,$0.00 ,Everyone,Shopping,GOOGLE,10,10000,"$470,000.00 "
ASOS,$0.00 ,9725,5,5,4+,Shopping,IOS,4.7,4.5,181798,$0.00 ,Everyone,Shopping,GOOGLE,10.5,10000,"$494,000.00 "
Choices: Stories You Play,$0.00 ,33698,4.5,4.5,12+,Games,IOS,4.6,4.5,807338,$0.00 ,Teen,Simulation,GOOGLE,10,10000,"$470,000.00 "
Design Home,$0.00 ,23298,4.5,4.5,4+,Games,IOS,4.4,4.5,539931,$0.00 ,Everyone,Simulation,GOOGLE,10,10000,"$470,000.00 "
Episode - Choose Your Story,$0.00 ,155903,4.5,4.5,12+,Games,IOS,4.3,4.5,1841061,$0.00 ,Teen,Simulation,GOOGLE,10,10000,"$470,000.00 "
Fallout Shelter,$0.00 ,199396,4.5,4.5,12+,Games,IOS,4.6,4.5,2719142,$0.00 ,Teen,Simulation,GOOGLE,10,10000,"$470,000.00 "
SimCity BuildIt,$0.00 ,198338,4.5,4.5,4+,Games,IOS,4.5,4.5,4218587,$0.00 ,Everyone 10+,Simulation,GOOGLE,10,10000,"$470,000.00 "
The Sims™ FreePlay,$0.00 ,446880,4.5,4.5,12+,Games,IOS,4.3,4.5,931595,$0.00 ,Teen,Simulation,GOOGLE,10,10000,"$470,000.00 "
"Egg, Inc.",$0.00 ,79074,5,5,4+,Games,IOS,4.7,4.5,580160,$0.00 ,Everyone,Simulation,GOOGLE,10.5,10000,"$494,000.00 "
Farming Simulator 14,$0.00 ,3615,4,4,4+,Games,IOS,4.5,4.5,530854,$0.00 ,Everyone,Simulation;Action & Adventure,GOOGLE,9.5,10000,"$446,000.00 "
Snapchat,$0.00 ,323905,2.5,2.5,12+,Photo & Video,IOS,4,4,17014787,$0.00 ,Teen,Social,GOOGLE,7.5,10000,"$350,000.00 "
Messenger,$0.00 ,351466,3,3,4+,Social Networking,IOS,4.1,4,68025,$0.00 ,Everyone,Social,GOOGLE,8,10000,"$374,000.00 "
Facebook,$0.00 ,2974676,3.5,3.5,4+,Social Networking,IOS,4.1,4,78158306,$0.00 ,Teen,Social,GOOGLE,8.5,10000,"$398,000.00 "
LinkedIn,$0.00 ,71856,3.5,3.5,4+,Social Networking,IOS,4.2,4,1225339,$0.00 ,Everyone,Social,GOOGLE,8.5,10000,"$398,000.00 "
Timehop,$0.00 ,49510,3.5,3.5,4+,Social Networking,IOS,4.1,4,161610,$0.00 ,Teen,Social,GOOGLE,8.5,10000,"$398,000.00 "
YouNow: Live Stream Video Chat,$0.00 ,12079,3.5,3.5,12+,Social Networking,IOS,4.1,4,309872,$0.00 ,Teen,Social,GOOGLE,8.5,10000,"$398,000.00 "
Tumblr,$0.00 ,334293,4,4,17+,Social Networking,IOS,4.4,4.5,2955326,$0.00 ,Mature 17+,Social,GOOGLE,9.5,10000,"$446,000.00 "
Instagram,$0.00 ,2161558,4.5,4.5,12+,Photo & Video,IOS,4.5,4.5,66577313,$0.00 ,Teen,Social,GOOGLE,10,10000,"$470,000.00 "
Pinterest,$0.00 ,1061624,4.5,4.5,12+,Social Networking,IOS,4.6,4.5,4305441,$0.00 ,Teen,Social,GOOGLE,10,10000,"$470,000.00 "
Wishbone - Compare Anything,$0.00 ,20649,4.5,4.5,12+,Social Networking,IOS,4.3,4.5,51569,$0.00 ,Teen,Social,GOOGLE,10,10000,"$470,000.00 "
NBC Sports,$0.00 ,47172,2.5,2.5,4+,Sports,IOS,3.1,3,78442,$0.00 ,Everyone,Sports,GOOGLE,6.5,10000,"$302,000.00 "
NCAA Sports,$0.00 ,636,2,2,4+,Sports,IOS,3.9,4,4272,$0.00 ,Everyone,Sports,GOOGLE,7,10000,"$326,000.00 "
NFL,$0.00 ,27317,2.5,2.5,4+,Sports,IOS,4.1,4,459795,$0.00 ,Everyone,Sports,GOOGLE,7.5,10000,"$350,000.00 "
NHL,$0.00 ,15554,3.5,3.5,4+,Sports,IOS,4,4,68935,$0.00 ,Everyone,Sports,GOOGLE,8.5,10000,"$398,000.00 "
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",$0.00 ,16683,3.5,3.5,4+,Sports,IOS,4.2,4,75566,$0.00 ,Everyone,Sports,GOOGLE,8.5,10000,"$398,000.00 "
NASCAR MOBILE,$0.00 ,16385,4,4,4+,Sports,IOS,4.2,4,80900,$0.00 ,Everyone,Sports,GOOGLE,9,10000,"$422,000.00 "
NBA,$0.00 ,43682,3.5,3.5,4+,Sports,IOS,4.4,4.5,108318,$0.00 ,Everyone,Sports,GOOGLE,9,10000,"$422,000.00 "
Premier League - Official App,$0.00 ,791,3.5,3.5,12+,Sports,IOS,4.3,4.5,63580,$0.00 ,Everyone,Sports,GOOGLE,9,10000,"$422,000.00 "
WatchESPN,$0.00 ,159735,4,4,4+,Sports,IOS,4.1,4,288809,$0.00 ,Everyone,Sports,GOOGLE,9,10000,"$422,000.00 "
Bike Unchained,$0.00 ,629,4,4,4+,Games,IOS,4.3,4.5,83545,$0.00 ,Everyone,Sports,GOOGLE,9.5,10000,"$446,000.00 "
Crazy Freekick,$0.00 ,228,4.5,4.5,4+,Games,IOS,3.9,4,47688,$0.00 ,Everyone,Sports,GOOGLE,9.5,10000,"$446,000.00 "
NBA LIVE Mobile Basketball,$0.00 ,40619,4,4,4+,Games,IOS,4.4,4.5,1690802,$0.00 ,Everyone,Sports,GOOGLE,9.5,10000,"$446,000.00 "
PES CLUB MANAGER,$0.00 ,3216,4.5,4.5,4+,Games,IOS,4.4,4.5,783025,$0.00 ,Everyone,Sports,GOOGLE,10,10000,"$470,000.00 "
Real Basketball,$0.00 ,198050,4.5,4.5,4+,Games,IOS,4.5,4.5,1605267,$0.00 ,Everyone,Sports,GOOGLE,10,10000,"$470,000.00 "
Score! Hero,$0.00 ,85395,4.5,4.5,4+,Games,IOS,4.6,4.5,5418675,$0.00 ,Everyone,Sports,GOOGLE,10,10000,"$470,000.00 "
WGT Golf Game by Topgolf,$0.00 ,53285,4.5,4.5,17+,Games,IOS,4.3,4.5,148083,$0.00 ,Everyone,Sports,GOOGLE,10,10000,"$470,000.00 "
Mobile Strike,$0.00 ,24935,3.5,3.5,12+,Games,IOS,3.9,4,903392,$0.00 ,Everyone 10+,Strategy,GOOGLE,8.5,10000,"$398,000.00 "
King of Avalon: Dragon Warfare,$0.00 ,3326,4,4,9+,Games,IOS,4.2,4,306652,$0.00 ,Everyone 10+,Strategy,GOOGLE,9,10000,"$422,000.00 "
aa,$0.00 ,158845,4.5,4.5,4+,Games,IOS,4.2,4,886418,$0.00 ,Everyone,Strategy,GOOGLE,9.5,10000,"$446,000.00 "
Army of Heroes,$0.00 ,1235,4.5,4.5,12+,Games,IOS,4.5,4.5,85015,$0.00 ,Everyone 10+,Strategy,GOOGLE,10,10000,"$470,000.00 "
Boom Beach,$0.00 ,241929,4.5,4.5,9+,Games,IOS,4.5,4.5,5591653,$0.00 ,Everyone 10+,Strategy,GOOGLE,10,10000,"$470,000.00 "
Clash of Clans,$0.00 ,2130805,4.5,4.5,9+,Games,IOS,4.6,4.5,44891723,$0.00 ,Everyone 10+,Strategy,GOOGLE,10,10000,"$470,000.00 "
Clash Royale,$0.00 ,266921,4.5,4.5,9+,Games,IOS,4.6,4.5,23133508,$0.00 ,Everyone 10+,Strategy,GOOGLE,10,10000,"$470,000.00 "
Narcos: Cartel Wars,$0.00 ,4490,4.5,4.5,12+,Games,IOS,4.7,4.5,244797,$0.00 ,Teen,Strategy,GOOGLE,10,10000,"$470,000.00 "
Epson iPrint,$0.00 ,2838,3,3,4+,Photo & Video,IOS,4.1,4,108169,$0.00 ,Everyone,Tools,GOOGLE,8,10000,"$374,000.00 "
Google Translate,$0.00 ,26786,3.5,3.5,4+,Reference,IOS,4.4,4.5,5745093,$0.00 ,Everyone,Tools,GOOGLE,9,10000,"$422,000.00 "
Speedtest by Ookla,$0.00 ,65016,3.5,3.5,4+,Utilities,IOS,4.4,4.5,1028794,$0.00 ,Everyone,Tools,GOOGLE,9,10000,"$422,000.00 "
T-Mobile,$0.00 ,19977,4,4,4+,Productivity,IOS,4.3,4.5,482630,$0.00 ,Everyone,Tools,GOOGLE,9.5,10000,"$446,000.00 "
SNCF,$0.00 ,7,1.5,1.5,4+,Travel,IOS,3.4,3.5,15750,$0.00 ,Everyone,Travel & Local,GOOGLE,6,10000,"$278,000.00 "
United Airlines,$0.00 ,5748,2.5,2.5,4+,Travel,IOS,3.5,3.5,30447,$0.00 ,Everyone,Travel & Local,GOOGLE,7,10000,"$326,000.00 "
Fly Delta,$0.00 ,8094,3,3,4+,Travel,IOS,3.7,3.5,27560,$0.00 ,Everyone,Travel & Local,GOOGLE,7.5,10000,"$350,000.00 "
Southwest Airlines,$0.00 ,30552,3,3,4+,Travel,IOS,3.9,4,24781,$0.00 ,Everyone,Travel & Local,GOOGLE,8,10000,"$374,000.00 "
Google Earth,$0.00 ,446185,3.5,3.5,4+,Travel,IOS,4.3,4.5,2338655,$0.00 ,Everyone,Travel & Local,GOOGLE,9,10000,"$422,000.00 "
Google Street View,$0.00 ,1450,4,4,4+,Travel,IOS,4.2,4,2129689,$0.00 ,Everyone,Travel & Local,GOOGLE,9,10000,"$422,000.00 "
Airbnb,$0.00 ,22302,4,4,4+,Travel,IOS,4.4,4.5,359403,$0.00 ,Everyone,Travel & Local,GOOGLE,9.5,10000,"$446,000.00 "
Trivia Crack,$0.00 ,393469,4.5,4.5,4+,Games,IOS,4.5,4.5,6427773,$0.00 ,Everyone,Trivia,GOOGLE,10,10000,"$470,000.00 "
Google Play Movies & TV,$0.00 ,1195,3,3,12+,Entertainment,IOS,3.7,3.5,906384,$0.00 ,Teen,Video Players & Editors,GOOGLE,7.5,10000,"$350,000.00 "
Dubsmash,$0.00 ,20243,4.5,4.5,12+,Entertainment,IOS,4.2,4,1971777,$0.00 ,Teen,Video Players & Editors,GOOGLE,9.5,10000,"$446,000.00 "
Yahoo Weather,$0.00 ,112603,4.5,4.5,4+,Weather,IOS,4.4,4.5,1312037,$0.00 ,Everyone,Weather,GOOGLE,10,10000,"$470,000.00 "
